food,nutrient,category,nutrientAmt,size
"Orange Juice","Vitamin D","Vegan",50,125
"Soy Milk","Vitamin D","Vegan",86,244
"Milk","Vitamin D","Vegetarian",104,244
"Yogurt","Vitamin D","Vegetarian",70,174
"Cheese","Vitamin D","Vegetarian",40,50
"Eggs","Vitamin D","Vegetarian",70,174
"Pork","Vitamin D","Animal",50,85
"Beef","Vitamin D","Animal",150,72
"Salmon","Vitamin D","Animal",630,178
"Tuna","Vitamin D","Animal",200,150
"Almond Milk","Vitamin D","Vegan",90,244
"Sunlight","Vitamin D","Vegan",
